athlete,country
Stefania CONSTANTINI,Italy
Amos MOSANER,Italy
Kristin SKASLIEN,Norway
Magnus NEDREGOTTEN,Norway
Almida DE VAL,Sweden
Oskar ERIKSSON,Sweden
Jennifer DODDS,Great Britain
Bruce MOUAT,Great Britain
Rachel HOMAN,Canada
John MORRIS,Canada
Zuzana HAJKOVA,Czech Republic
Tomas PAUL,Czech Republic
Jenny PERRET,Switzerland
Martin RIOS,Switzerland
Vicky PERSINGER,United States of America
Christopher PLYS,United States of America
Suyuan FAN,China
Zhi LING,China
Tahli GILL,Australia
Dean HEWITT,Australia
Cooper WOODS-TOPALOVIC,Australia
Felix ELOFSSON,Sweden
Dylan WALCZYK,United States of America
Olli PENTTALA,Finland
Dmitriy REIKHERD,Kazakhstan
Matt GRAHAM,Australia
Ikuma HORISHIMA,Japan
Daichi HARA,Japan
Laurent DUMAIS,Canada
James MATHESON,Australia
Pavel KOLMAKOV,Kazakhstan
Kosuke SUGIMOTO,Japan
Brodie SUMMERS,Australia
Severi VIERELA,Finland
Marco TADE,Switzerland
William FENELEY,Great Britain
Mikael KINGSBURY,Canada
So MATSUDA,Japan
Walter WALLBERG,Sweden
Bradley WILSON,United States of America
Yang ZHAO,China
Benjamin CAVET,France
Cole MCDONALD,United States of America
Nick PAGE,United States of America
Sacha THEOCHARIS,France
Jimi SALONEN,Finland
Nikita NOVITSKII,ROC
Nikita ANDREEV,ROC
Ludvig FJALLSTROM,Sweden
Oskar ELOFSSON,Sweden
Bingqiang MAO,China
Kevin ROLLAND,France
Noah BOWMAN,Canada
Robin BRIGUET,Switzerland
Nico PORTEOUS,New Zealand
Seung Hun LEE,Republic of Korea
David WISE,United States of America
Aaron BLUNCK,United States of America
Brendan MACKAY,Canada
Ben HARRINGTON,New Zealand
Jingbo SUN,China
Alex FERREIRA,United States of America
Miguel PORTEOUS,New Zealand
Brendan NEWBY,Ireland
Gus KENWORTHY,Great Britain
Gustav LEGNAVSKY,New Zealand
Haizhuo WANG,China
Marco LADNER,Austria
Binghan HE,China
Birk IRVING,United States of America
Simon D ARTOIS,Canada
Rafael KREIENBUEHL,Switzerland
Jon SALLINEN,Finland
Edouard THERRIAULT,Canada
Matej SVANCER,Austria
Teal HARLE,Canada
Colin WILI,Switzerland
Hugo BURVALL,Sweden
Leonardo DONAGGIO,Italy
Birk RUUD,Norway
Mac FOREHAND,United States of America
Finn BILOUS,New Zealand
Thibault MAGNIN,Spain
Oliwer MAGNUSSON,Sweden
Ferdinand DAHL,Norway
Kim GUBSER,Switzerland
Max MOFFATT,Canada
Javier LLISO,Spain
Fabian BOESCH,Switzerland
Christian NUMMEDAL,Norway
Henrik HARLAUT,Sweden
Jesper TJADER,Sweden
Nicholas GOEPPER,United States of America
Colby STEVENSON,United States of America
Simo PELTOLA,Finland
Ben BARCLAY,New Zealand
Andri RAGETTLI,Switzerland
Alexander HALL,United States of America
Evan MCEACHRAN,Canada
James WOODS,Great Britain
Tormod FROSTAD,Norway
Daniel BACHER,Austria
Jinbo HE,China
Antoine ADELISSE,France
Terence TCHIKNAVORIAN,France
Bastien MIDOL,France
Sergey RIDZIK,ROC
Johannes ROHRWECK,Austria
David MOBAERG,Sweden
Niklas BACHSLEITNER,Germany
Alex FIVA,Switzerland
Kirill SYSOEV,ROC
Ollie DAVIES,Great Britain
Ryo SUGAI,Japan
Tristan TAKATS,Austria
Satoshi FURUNO,Japan
Jean Frederic CHAPUIS,France
Jared SCHMIDT,Canada
Francois PLACE,France
Elliott BARALO,Sweden
Ryan REGEZ,Switzerland
Kevin DRURY,Canada
Simone DEROMEDIS,Italy
Reece HOWDEN,Canada
Romain DETRAZ,Switzerland
Tyler WALLASCH,United States of America
Brady LEMAN,Canada
Robert WINKLER,Austria
Joos BERRY,Switzerland
Erik MOBAERG,Sweden
Adam KAPPACHER,Austria
Igor OMELIN,ROC
Viktor ANDERSSON,Sweden
Florian WILMSMANN,Germany
Tobias MUELLER,Germany
Daniel BOHNACKER,Germany
Caroline CLAIRE,United States of America
Megan OLDHAM,Canada
Anni KARAVA,Finland
Ailing Eileen GU,China
Darian STEVENS,United States of America
Ksenia ORLOVA,ROC
Kelly SILDARU,Estonia
Margaux HACKETT,New Zealand
Tess LEDEUX,France
Silvia BERTAGNA,Italy
Johanne KILLI,Norway
Mathilde GREMAUD,Switzerland
Dominique OHACO,Chile
Shuorui YANG,China
Maggie VOISIN,United States of America
Laura WALLNER,Austria
Elena GASKELL,Canada
Katie SUMMERHAYES,Great Britain
Sandra EIE,Norway
Lara WOLF,Austria
Marin HAMILL,United States of America
Anastasia TATALINA,ROC
Olivia ASSELIN,Canada
Sarah HOEFFLIN,Switzerland
Alia Delia EICHINGER,Germany
Kirsty MUIR,Great Britain
Jakara ANTHONY,Australia
Junko HOSHINO,Japan
Kai OWENS,United States of America
Anastasiia PERVUSHINA,ROC
Katharina RAMSAUER,Austria
Taylah ONEILL,Australia
Hinako TOMITAKA,Japan
Ayaulum AMRENOVA,Kazakhstan
Chloe DUFOUR-LAPOINTE,Canada
Kisara SUMIYOSHI,Japan
Sophie ASH,Australia
Olessya GRAUR,Kazakhstan
Sofiane GAGNON,Canada
Olivia GIACCIO,United States of America
Perrine LAFFONT,France
Justine DUFOUR-LAPOINTE,Canada
Camille CABROL,France
Britteny COX,Australia
Nan LI,China
Anastasiia SMIRNOVA,ROC
Jaelin KAUF,United States of America
Hannah SOAR,United States of America
Viktoriia LAZARENKO,ROC
Polina CHUDINOVA,ROC
Anastassiya GORODKO,Kazakhstan
Makayla GERKEN SCHOFIELD,Great Britain
Sabrina CASS,Brazil
Yulia GALYSHEVA,Kazakhstan
Leonie GERKEN SCHOFIELD,Great Britain
Anri KAWAMURA,Japan
Alizee BARON,France
Sandra NAESLUND,Sweden
Katrin OFNER,Austria
Ekaterina MALTSEVA,ROC
Courtney HOFFOS,Canada
Elizaveta PONKRATOVA,ROC
Daniela MAIER,Germany
Fanny SMITH,Switzerland
Anastasiia CHIRTCOVA,ROC
Andrea LIMBACHER,Austria
Brittany PHELAN,Canada
Talina GANTENBEIN,Switzerland
Hannah SCHMIDT,Canada
Alexandra EDEBO,Sweden
Jole GALLI,Italy
Rui PU,China
Nikol KUCEROVA,Czech Republic
Hongyun RAN,China
Jade GRILLET AUBERT,France
Natalia SHERINA,ROC
Christina FOEDERMAYR,Austria
Johanna HOLZMANN,Germany
Saskja LACK,Switzerland
Marielle THOMPSON,Canada
Lucrezia FANTELLI,Italy
Sami KENNEDY-SIM,Australia
Ilia BUROV,ROC
Noe ROTH,Switzerland
Lloyd WALLACE,Great Britain
Maxim GUSTIK,Belarus
Lewis IRVING,Canada
Oleksandr ABRAMENKO,Ukraine
Pavel DIK,Belarus
Justin SCHOENEFELD,United States of America
Pirmin WERNER,Switzerland
Guangpu QI,China
Eric LOUGHRAN,United States of America
Zongyang JIA,China
Xindi WANG,China
Nicolas GYGAX,Switzerland
Oleksandr OKIPNIUK,Ukraine
Sherzod KHASHYRBAYEV,Kazakhstan
Jiaxu SUN,China
