athlete,discipline,slug,event,event_gender,medal,partecipant_type
Stefania CONSTANTINI,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam
Amos MOSANER,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam
Kristin SKASLIEN,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam
Magnus NEDREGOTTEN,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam
Almida DE VAL,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam
Oskar ERIKSSON,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam
Mikael KINGSBURY,Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete
Walter WALLBERG,Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete
Ikuma HORISHIMA,Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete
Nico PORTEOUS,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete
David WISE,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete
Alex FERREIRA,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete
Henrik HARLAUT,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete
Birk RUUD,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete
Colby STEVENSON,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete
Sergey RIDZIK,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete
Alex FIVA,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete
Ryan REGEZ,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete
Mathilde GREMAUD,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete
Ailing Eileen GU,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete
Tess LEDEUX,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete
Jaelin KAUF,Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete
Jakara ANTHONY,Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete
Anastasiia SMIRNOVA,Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete
Marielle THOMPSON,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete
Sandra NAESLUND,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete
Daniela MAIER,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete
Ilia BUROV,Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete
Guangpu QI,Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete
Oleksandr ABRAMENKO,Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete
Hanna HUSKOVA,Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete
Mengtao XU,Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete
Megan NICK,Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete
Cassie SHARPE,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete
Ailing Eileen GU,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete
Rachel KARKER,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete
Ailing Eileen GU,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete
Mathilde GREMAUD,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete
Kelly SILDARU,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete
Nicholas GOEPPER,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete
Jesper TJADER,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete
Alexander HALL,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete
Suzanne SCHULTING,Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete
Kim BOUTIN,Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete
Arianna FONTANA,Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete
Steven DUBOIS,Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete
Shaoang LIU,Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete
Konstantin IVLIEV,Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete
Semen ELISTRATOV,Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete
Daeheon HWANG,Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete
Steven DUBOIS,Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete
Ziwei REN,Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete
Wenlong LI,Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete
Shaoang LIU,Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete
Suzanne SCHULTING,Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete
Minjeong CHOI,Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete
Hanne DESMET,Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete
Minjeong CHOI,Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete
Suzanne SCHULTING,Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete
Arianna FONTANA,Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete
Queralt CASTELLET,Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete
Sena TOMITA,Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete
Chloe KIM,Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete
