athlete_1,athlete_2,discipline,slug
Stefania CONSTANTINI,Amos MOSANER,Curling,beijing-2022
Kristin SKASLIEN,Magnus NEDREGOTTEN,Curling,beijing-2022
Almida DE VAL,Oskar ERIKSSON,Curling,beijing-2022
Jennifer DODDS,Bruce MOUAT,Curling,beijing-2022
Rachel HOMAN,John MORRIS,Curling,beijing-2022
Zuzana HAJKOVA,Tomas PAUL,Curling,beijing-2022
Jenny PERRET,Martin RIOS,Curling,beijing-2022
Vicky PERSINGER,Christopher PLYS,Curling,beijing-2022
Suyuan FAN,Zhi LING,Curling,beijing-2022
Tahli GILL,Dean HEWITT,Curling,beijing-2022
Nick BAUMGARTNER,Lindsey JACOBELLIS,Snowboard,beijing-2022
Omar VISINTIN,Michela MOIOLI,Snowboard,beijing-2022
Eliot GRONDIN,Meryeta ODINE,Snowboard,beijing-2022
Lorenzo SOMMARIVA,Caterina CARPANO,Snowboard,beijing-2022
Martin NOERL,Jana FISCHER,Snowboard,beijing-2022
Huw NIGHTINGALE,Charlotte BANKES,Snowboard,beijing-2022
Kalle KOBLET,Sophie HEDIGER,Snowboard,beijing-2022
Daniil DONSKIKH,Kristina PAUL,Snowboard,beijing-2022
Cameron BOLTON,Belle BROCKHOFF,Snowboard,beijing-2022
Liam MOFFATT,Tess CRITCHLOW,Snowboard,beijing-2022
Loan BOZZOLO,Julia PEREIRA DE SOUSA MABILEAU,Snowboard,beijing-2022
Jake VEDDER,Faye GULINI,Snowboard,beijing-2022
Alessandro HAEMMERLE,Pia ZERKHOLD,Snowboard,beijing-2022
Merlin SURGET,Chloe TRESPEUCH,Snowboard,beijing-2022
Adam LAMBERT,Josie BAFF,Snowboard,beijing-2022
Boyang JIN,Yi ZHU,Figure skating,beijing-2022
Boyang JIN,Yi ZHU,Figure skating,beijing-2022
Boyang JIN,Yi ZHU,Figure skating,beijing-2022
Boyang JIN,Yi ZHU,Figure skating,beijing-2022
Paul FENTZ,Nicole SCHOTT,Figure skating,beijing-2022
Paul FENTZ,Nicole SCHOTT,Figure skating,beijing-2022
Wenjing SUI,Cong HAN,Figure skating,beijing-2022
Evgenia TARASOVA,Vladimir MOROZOV,Figure skating,beijing-2022
Anastasia MISHINA,Aleksandr GALLIAMOV,Figure skating,beijing-2022
Aleksandra BOIKOVA,Dmitrii KOZLOVSKII,Figure skating,beijing-2022
Cheng PENG,Yang JIN,Figure skating,beijing-2022
Alexa SCIMECA KNIERIM,Brandon FRAZIER,Figure skating,beijing-2022
Riku MIURA,Ryuichi KIHARA,Figure skating,beijing-2022
Ashley CAIN-GRIBBLE,Timothy LEDUC,Figure skating,beijing-2022
Karina SAFINA,Luka BERULAVA,Figure skating,beijing-2022
Kirsten MOORE-TOWERS,Michael MARINARO,Figure skating,beijing-2022
