discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete;country_name;country_code
Curling;beijing-2022;Mixed Doubles;Mixed;GOLD;GameTeam;Italy;Stefania CONSTANTINI;Italy;ITA
Curling;beijing-2022;Mixed Doubles;Mixed;GOLD;GameTeam;Italy;Amos MOSANER;Italy;ITA
Curling;beijing-2022;Mixed Doubles;Mixed;SILVER;GameTeam;Norway;Kristin SKASLIEN;Norway;NOR
Curling;beijing-2022;Mixed Doubles;Mixed;SILVER;GameTeam;Norway;Magnus NEDREGOTTEN;Norway;NOR
Curling;beijing-2022;Mixed Doubles;Mixed;BRONZE;GameTeam;Sweden;Almida DE VAL;Sweden;SWE
Curling;beijing-2022;Mixed Doubles;Mixed;BRONZE;GameTeam;Sweden;Oskar ERIKSSON;Sweden;SWE
Curling;beijing-2022;Women;Women;GOLD;GameTeam;Great Britain;NULL;Great Britain;GBR
Curling;beijing-2022;Women;Women;SILVER;GameTeam;Japan;NULL;Japan;JPN
Curling;beijing-2022;Women;Women;BRONZE;GameTeam;Sweden;NULL;Sweden;SWE
Curling;beijing-2022;Men;Men;GOLD;GameTeam;Sweden;NULL;Sweden;SWE
Curling;beijing-2022;Men;Men;SILVER;GameTeam;Great Britain;NULL;Great Britain;GBR
Curling;beijing-2022;Men;Men;BRONZE;GameTeam;Canada;NULL;Canada;CAN
Freestyle Skiing;beijing-2022;Men's Moguls;Men;SILVER;Athlete;NULL;Mikael KINGSBURY;Canada;CAN
Freestyle Skiing;beijing-2022;Men's Moguls;Men;GOLD;Athlete;NULL;Walter WALLBERG;Sweden;SWE
Freestyle Skiing;beijing-2022;Men's Moguls;Men;BRONZE;Athlete;NULL;Ikuma HORISHIMA;Japan;JPN
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;GOLD;Athlete;NULL;Nico PORTEOUS;New Zealand;NZL
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;SILVER;Athlete;NULL;David WISE;United States of America;USA
Freestyle Skiing;beijing-2022;Men's Freeski Halfpipe;Men;BRONZE;Athlete;NULL;Alex FERREIRA;United States of America;USA
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;BRONZE;Athlete;NULL;Henrik HARLAUT;Sweden;SWE
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;GOLD;Athlete;NULL;Birk RUUD;Norway;NOR
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;SILVER;Athlete;NULL;Colby STEVENSON;United States of America;USA
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;BRONZE;Athlete;NULL;Sergey RIDZIK;ROC;ROC
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;SILVER;Athlete;NULL;Alex FIVA;Switzerland;SUI
Freestyle Skiing;beijing-2022;Men's Ski Cross;Men;GOLD;Athlete;NULL;Ryan REGEZ;Switzerland;SUI
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;BRONZE;Athlete;NULL;Mathilde GREMAUD;Switzerland;SUI
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;GOLD;Athlete;NULL;Ailing Eileen GU;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Women's Freeski Big Air;Women;SILVER;Athlete;NULL;Tess LEDEUX;France;FRA
Freestyle Skiing;beijing-2022;Women's Moguls;Women;SILVER;Athlete;NULL;Jaelin KAUF;United States of America;USA
Freestyle Skiing;beijing-2022;Women's Moguls;Women;GOLD;Athlete;NULL;Jakara ANTHONY;Australia;AUS
Freestyle Skiing;beijing-2022;Women's Moguls;Women;BRONZE;Athlete;NULL;Anastasiia SMIRNOVA;ROC;ROC
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;GOLD;GameTeam;United States;NULL;United States of America;USA
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;SILVER;GameTeam;China;NULL;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;BRONZE;GameTeam;Canada;NULL;Canada;CAN
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;SILVER;Athlete;NULL;Marielle THOMPSON;Canada;CAN
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;GOLD;Athlete;NULL;Sandra NAESLUND;Sweden;SWE
Freestyle Skiing;beijing-2022;Women's Ski Cross;Women;BRONZE;Athlete;NULL;Daniela MAIER;Germany;GER
Freestyle Skiing;beijing-2022;Men's Aerials;Men;BRONZE;Athlete;NULL;Ilia BUROV;ROC;ROC
Freestyle Skiing;beijing-2022;Men's Aerials;Men;GOLD;Athlete;NULL;Guangpu QI;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Men's Aerials;Men;SILVER;Athlete;NULL;Oleksandr ABRAMENKO;Ukraine;UKR
Freestyle Skiing;beijing-2022;Women's Aerials;Women;SILVER;Athlete;NULL;Hanna HUSKOVA;Belarus;BLR
Freestyle Skiing;beijing-2022;Women's Aerials;Women;GOLD;Athlete;NULL;Mengtao XU;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Women's Aerials;Women;BRONZE;Athlete;NULL;Megan NICK;United States of America;USA
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;SILVER;Athlete;NULL;Cassie SHARPE;Canada;CAN
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;GOLD;Athlete;NULL;Ailing Eileen GU;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Women's Freeski Halfpipe;Women;BRONZE;Athlete;NULL;Rachel KARKER;Canada;CAN
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;SILVER;Athlete;NULL;Ailing Eileen GU;People's Republic of China;CHN
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;GOLD;Athlete;NULL;Mathilde GREMAUD;Switzerland;SUI
Freestyle Skiing;beijing-2022;Women's Freeski Slopestyle;Women;BRONZE;Athlete;NULL;Kelly SILDARU;Estonia;EST
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;SILVER;Athlete;NULL;Nicholas GOEPPER;United States of America;USA
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;BRONZE;Athlete;NULL;Jesper TJADER;Sweden;SWE
Freestyle Skiing;beijing-2022;Men's Freeski Slopestyle;Men;GOLD;Athlete;NULL;Alexander HALL;United States of America;USA
Short Track Speed Skating;beijing-2022;Women's 500m;Women;SILVER;Athlete;NULL;Suzanne SCHULTING;Netherlands;NED
Short Track Speed Skating;beijing-2022;Women's 500m;Women;BRONZE;Athlete;NULL;Kim BOUTIN;Canada;CAN
Short Track Speed Skating;beijing-2022;Women's 500m;Women;GOLD;Athlete;NULL;Arianna FONTANA;Italy;ITA
Short Track Speed Skating;beijing-2022;Men's 500m;Men;BRONZE;Athlete;NULL;Steven DUBOIS;Canada;CAN
Short Track Speed Skating;beijing-2022;Men's 500m;Men;GOLD;Athlete;NULL;Shaoang LIU;Hungary;HUN
Short Track Speed Skating;beijing-2022;Men's 500m;Men;SILVER;Athlete;NULL;Konstantin IVLIEV;ROC;ROC
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;GOLD;GameTeam;Canada;NULL;Canada;CAN
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;SILVER;GameTeam;Republic of Korea;NULL;Republic of Korea;KOR
Short Track Speed Skating;beijing-2022;Men's 5000m Relay;Men;BRONZE;GameTeam;Italy;NULL;Italy;ITA
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;GOLD;GameTeam;People's Republic of China;NULL;People's Republic of China;CHN
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;SILVER;GameTeam;Italy;NULL;Italy;ITA
Short Track Speed Skating;beijing-2022;Team Relay;Mixed;BRONZE;GameTeam;Hungary;NULL;Hungary;HUN
Short Track Speed Skating;beijing-2022;Men's 1500m;Men;BRONZE;Athlete;NULL;Semen ELISTRATOV;ROC;ROC
Short Track Speed Skating;beijing-2022;Men's 1500m;Men;GOLD;Athlete;NULL;Daeheon HWANG;Republic of Korea;KOR
